state,county,per_100000_population,gender,race,location,latitude_longitude
al,shelby county,310.9,overall,white,1117,33272349 86662124
al,sumter county,451.0,overall,white,1119,32592159 88198779
al,talladega county,439.2,overall,white,1121,3338655 86165729
al,tallapoosa county,414.6,overall,white,1123,32870228 85796142
al,tuscaloosa county,395.4,overall,white,1125,33297694 87520245
al,walker county,687.5,overall,white,1127,33808663 87297984
al,washington county,491.2,overall,white,1129,31414015 88206517
al,wilcox county,478.4,overall,white,1131,31997603 87309377
al,winston county,450.8,overall,white,1133,34155045 87372984
al,autauga county,518.0,male,white,1001,32540743 86642658
al,baldwin county,481.0,male,white,1003,3074338 87725037
al,barbour county,521.8,male,white,1005,31875526 85392733
al,bibb county,526.5,male,white,1007,32999586 87128286
al,blount county,517.4,male,white,1009,339833 86566107
al,bullock county,484.8,male,white,1011,32105445 85716374
al,butler county,612.6,male,white,1013,31756743 86685543
al,calhoun county,729.2,male,white,1015,33776116 85827265
al,chambers county,442.7,male,white,1017,32918605 85389755
al,cherokee county,603.5,male,white,1019,34175592 8560109
al,chilton county,632.2,male,white,1021,3285542 86717847
al,choctaw county,627.1,male,white,1023,32023039 88263625
al,clarke county,509.9,male,white,1025,31685276 87828202
al,clay county,598.6,male,white,1027,33275512 85861243
al,cleburne county,646.6,male,white,1029,33676437 85521058
al,coffee county,539.7,male,white,1031,31408678 85987616
al,colbert county,697.1,male,white,1033,34700954 87805794
al,conecuh county,601.6,male,white,1035,31436316 86992084
al,coosa county,508.3,male,white,1037,32940608 86246358
al,covington county,644.5,male,white,1039,31249891 86449316
al,crenshaw county,649.3,male,white,1041,31738498 86315231
al,cullman county,478.9,male,white,1043,34135642 86864859
al,dale county,546.6,male,white,1045,31437921 85612525
al,dallas county,625.5,male,white,1047,32331714 87103947
al,dekalb county,703.1,male,white,1049,34462067 85803144
al,elmore county,570.3,male,white,1051,32599774 86150224
al,escambia county,548.1,male,white,1053,31133221 87162551
al,etowah county,711.7,male,white,1055,34048713 86037592
al,fayette county,621.2,male,white,1057,33726047 87737656
al,franklin county,678.5,male,white,1059,34445544 87843784
al,geneva county,597.1,male,white,1061,31100302 85833243
al,greene county,539.0,male,white,1063,32861522 879517
al,hale county,543.0,male,white,1065,32769973 87626815
al,henry county,522.8,male,white,1067,31528365 85241061
al,houston county,453.4,male,white,1069,31163114 85295081
al,jackson county,645.8,male,white,1071,34784419 85993741
al,jefferson county,461.2,male,white,1073,33558145 86898116
al,lamar county,605.6,male,white,1075,3378226 88094104
